           tauB                     NinLC                      phiL          
          60.70                     83139                    0.18244                   1.32566         
          60.80                     83253                    0.18106                   1.32545         
          60.90                     83462                    0.17977                   1.32579         
          61.00                     83582                    0.17984                   1.32701         
          61.10                     83783                    0.17676                   1.32739         
          61.20                     83834                    0.17644                   1.32756         
          61.30                     83916                    0.17622                   1.32650         
          61.40                     83941                    0.17577                   1.32665         
          61.50                     83957                    0.17663                   1.32673         
          61.60                     84024                    0.17493                   1.32702         
          61.70                     84065                    0.17461                   1.32739         
          61.80                     84132                    0.17537                   1.32721         
          61.90                     83981                    0.17685                   1.32730         
          62.00                     83682                    0.17855                   1.32861         
          62.10                     83410                    0.18017                   1.33165         
          62.20                     83332                    0.17944                   1.33446         
          62.30                     83187                    0.18158                   1.33644         
          62.40                     83208                    0.18128                   1.33843         
          62.50                     83190                    0.18083                   1.34060         
          62.60                     83297                    0.17993                   1.34201         
          62.70                     83321                    0.17992                   1.34314         
          62.80                     83432                    0.17877                   1.34343         
          62.90                     83485                    0.17897                   1.34432         
