PeB,PeA,xA,PS
80,110,50,1
80,110,60,1
80,110,70,1
80,110,80,1
80,110,90,1
80,110,100,1
80,120,0,1
80,120,10,1
80,120,20,1
80,120,30,1
80,120,40,1
80,120,50,1
80,120,60,1
80,120,70,1
80,120,80,1
80,120,90,1
80,120,100,1
80,130,0,1
80,130,10,1
80,130,20,1
80,130,30,1
80,130,40,1
80,130,50,1
80,130,60,1
80,130,70,1
80,130,80,1
80,130,90,1
80,130,100,1
80,140,0,1
80,140,10,1
80,140,20,1
80,140,30,1
80,140,40,1
80,140,50,1
80,140,60,1
80,140,70,1
80,140,80,1
80,140,90,1
80,140,100,1
80,150,0,1
80,150,10,1
80,150,20,1
80,150,30,1
80,150,40,1
80,150,50,1
80,150,60,1
80,150,70,1
80,150,80,1
80,150,90,1
80,150,100,1
90,0,0,1
90,0,10,1
90,0,20,1
90,0,30,1
90,0,40,1
90,0,50,1
90,0,60,0
90,0,70,0
90,0,80,0
90,0,90,0
90,0,100,0
90,10,0,1
90,10,10,1
90,10,20,1
90,10,30,1
90,10,40,1
90,10,50,1
90,10,60,0
90,10,70,0
90,10,80,0
90,10,90,0
90,10,100,0
90,20,0,1
90,20,10,1
90,20,20,1
90,20,30,1
90,20,40,1
90,20,50,1
90,20,60,1
90,20,70,0
90,20,80,0
90,20,90,0
90,20,100,0
90,30,0,1
90,30,10,1
90,30,20,1
90,30,30,1
90,30,40,1
90,30,50,1
90,30,60,1
90,30,70,1
90,30,80,0
90,30,90,0
90,30,100,0
90,40,0,1
90,40,10,1
90,40,20,1
90,40,30,1
90,40,40,1
90,40,50,1
90,40,60,1
90,40,70,1
90,40,80,1
90,40,90,0
90,40,100,0
90,50,0,1
90,50,10,1
90,50,20,1
90,50,30,1
90,50,40,1
90,50,50,1
90,50,60,1
90,50,70,1
90,50,80,1
90,50,90,1
90,50,100,1
90,60,0,1
90,60,10,1
90,60,20,1
90,60,30,1
90,60,40,1
90,60,50,1
90,60,60,1
90,60,70,1
90,60,80,1
90,60,90,1
90,60,100,1
90,70,0,1
90,70,10,1
90,70,20,1
90,70,30,1
90,70,40,1
90,70,50,1
90,70,60,1
90,70,70,1
90,70,80,1
90,70,90,1
90,70,100,1
90,80,0,1
90,80,10,1
90,80,20,1
90,80,30,1
90,80,40,1
90,80,50,1
90,80,60,1
90,80,70,1
90,80,80,1
90,80,90,1
90,80,100,1
90,90,0,1
90,90,10,1
90,90,20,1
90,90,30,1
90,90,40,1
90,90,50,1
90,90,60,1
90,90,70,1
90,90,80,1
90,90,90,1
90,90,100,1
90,100,0,1
90,100,10,1
90,100,20,1
90,100,30,1
90,100,40,1
90,100,50,1
90,100,60,1
90,100,70,1
90,100,80,1
90,100,90,1
90,100,100,1
90,110,0,1
90,110,10,1
90,110,20,1
90,110,30,1
90,110,40,1
90,110,50,1
90,110,60,1
90,110,70,1
90,110,80,1
90,110,90,1
90,110,100,1
90,120,0,1
90,120,10,1
90,120,20,1
90,120,30,1
90,120,40,1
90,120,50,1
90,120,60,1
90,120,70,1
90,120,80,1
90,120,90,1
90,120,100,1
90,130,0,1
90,130,10,1
90,130,20,1
90,130,30,1
90,130,40,1
90,130,50,1
90,130,60,1
90,130,70,1
90,130,80,1
90,130,90,1
