             tauB                            r                             g(r)             
           100.000                         3.908                          1.227             
           100.000                         3.913                          1.192             
           100.000                         3.918                          1.128             
           100.000                         3.923                          1.110             
           100.000                         3.928                          1.031             
           100.000                         3.934                          1.022             
           100.000                         3.939                          1.005             
           100.000                         3.944                          0.996             
           100.000                         3.949                          0.980             
           100.000                         3.955                          0.921             
           100.000                         3.960                          0.929             
           100.000                         3.965                          0.916             
           100.000                         3.970                          0.911             
           100.000                         3.976                          0.899             
           100.000                         3.981                          0.907             
           100.000                         3.986                          0.919             
           100.000                         3.991                          0.938             
           100.000                         3.997                          0.963             
           100.000                         4.002                          0.943             
           100.000                         4.007                          0.982             
           100.000                         4.012                          1.038             
           100.000                         4.018                          1.061             
           100.000                         4.023                          1.033             
           100.000                         4.028                          1.095             
           100.000                         4.033                          1.120             
           100.000                         4.039                          1.175             
           100.000                         4.044                          1.207             
           100.000                         4.049                          1.243             
           100.000                         4.054                          1.283             
           100.000                         4.060                          1.290             
           100.000                         4.065                          1.328             
           100.000                         4.070                          1.363             
           100.000                         4.075                          1.363             
           100.000                         4.080                          1.401             
           100.000                         4.086                          1.420             
           100.000                         4.091                          1.433             
           100.000                         4.096                          1.451             
           100.000                         4.101                          1.479             
           100.000                         4.107                          1.483             
           100.000                         4.112                          1.495             
           100.000                         4.117                          1.497             
           100.000                         4.122                          1.539             
           100.000                         4.128                          1.527             
           100.000                         4.133                          1.546             
           100.000                         4.138                          1.549             
           100.000                         4.143                          1.586             
           100.000                         4.149                          1.563             
           100.000                         4.154                          1.554             
           100.000                         4.159                          1.616             
           100.000                         4.164                          1.616             
           100.000                         4.170                          1.598             
           100.000                         4.175                          1.659             
           100.000                         4.180                          1.684             
           100.000                         4.185                          1.721             
           100.000                         4.191                          1.740             
           100.000                         4.196                          1.776             
           100.000                         4.201                          1.871             
           100.000                         4.206                          1.803             
           100.000                         4.211                          1.850             
           100.000                         4.217                          1.942             
           100.000                         4.222                          1.969             
           100.000                         4.227                          1.996             
           100.000                         4.232                          2.039             
           100.000                         4.238                          2.111             
           100.000                         4.243                          2.154             
           100.000                         4.248                          2.178             
           100.000                         4.253                          2.253             
           100.000                         4.259                          2.271             
           100.000                         4.264                          2.355             
           100.000                         4.269                          2.341             
           100.000                         4.274                          2.477             
           100.000                         4.280                          2.514             
           100.000                         4.285                          2.566             
           100.000                         4.290                          2.575             
           100.000                         4.295                          2.647             
           100.000                         4.301                          2.664             
           100.000                         4.306                          2.688             
           100.000                         4.311                          2.755             
           100.000                         4.316                          2.728             
           100.000                         4.322                          2.748             
           100.000                         4.327                          2.789             
           100.000                         4.332                          2.794             
           100.000                         4.337                          2.826             
           100.000                         4.343                          2.829             
           100.000                         4.348                          2.806             
           100.000                         4.353                          2.842             
           100.000                         4.358                          2.784             
           100.000                         4.363                          2.798             
           100.000                         4.369                          2.709             
           100.000                         4.374                          2.727             
           100.000                         4.379                          2.745             
           100.000                         4.384                          2.676             
           100.000                         4.390                          2.631             
           100.000                         4.395                          2.587             
           100.000                         4.400                          2.600             
           100.000                         4.405                          2.514             
           100.000                         4.411                          2.492             
           100.000                         4.416                          2.488             
           100.000                         4.421                          2.446             
           100.000                         4.426                          2.429             
           100.000                         4.432                          2.354             
           100.000                         4.437                          2.334             
           100.000                         4.442                          2.336             
           100.000                         4.447                          2.287             
           100.000                         4.453                          2.260             
           100.000                         4.458                          2.270             
           100.000                         4.463                          2.226             
           100.000                         4.468                          2.237             
           100.000                         4.474                          2.201             
           100.000                         4.479                          2.242             
           100.000                         4.484                          2.231             
           100.000                         4.489                          2.193             
           100.000                         4.494                          2.211             
           100.000                         4.500                          2.229             
           100.000                         4.505                          2.228             
           100.000                         4.510                          2.218             
           100.000                         4.515                          2.212             
           100.000                         4.521                          2.232             
           100.000                         4.526                          2.214             
           100.000                         4.531                          2.270             
           100.000                         4.536                          2.243             
           100.000                         4.542                          2.236             
           100.000                         4.547                          2.238             
           100.000                         4.552                          2.234             
           100.000                         4.557                          2.186             
           100.000                         4.563                          2.230             
           100.000                         4.568                          2.212             
           100.000                         4.573                          2.203             
           100.000                         4.578                          2.220             
           100.000                         4.584                          2.177             
           100.000                         4.589                          2.144             
           100.000                         4.594                          2.114             
           100.000                         4.599                          2.022             
           100.000                         4.605                          2.058             
           100.000                         4.610                          1.984             
           100.000                         4.615                          1.948             
           100.000                         4.620                          1.903             
           100.000                         4.626                          1.894             
           100.000                         4.631                          1.813             
           100.000                         4.636                          1.788             
           100.000                         4.641                          1.724             
           100.000                         4.646                          1.692             
