 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
6000000.00   33863        0        33863      16137        0        16137       3659        0         3659       489       0.9168     0.9168     0.0000     0.0000      0.44    2152.9672    0.0000   2152.9672  10110.2145   0.0000   10110.2145  78539.82 
6050000.00   33483        0        33483      16517        0        16517       3694        0         3694       393       0.9149     0.9149     0.0000     0.0000      0.44    2177.8246    0.0000   2177.8246  10365.3740   0.0000   10365.3740  78539.82 
6100000.00   34815        0        34815      15185        0        15185       3688        0         3688       474       0.9280     0.9280     0.0000     0.0000      0.44    2162.9883    0.0000   2162.9883  9462.5770    0.0000   9462.5770   78539.82 
6150000.00   34196        0        34196      15804        0        15804       3687        0         3687       415       0.9544     0.9544     0.0000     0.0000      0.44    2153.7055    0.0000   2153.7055  9864.4583    0.0000   9864.4583   78539.82 
6200000.00   35064        0        35064      14936        0        14936       3770        0         3770       466       0.9290     0.9290     0.0000     0.0000      0.44    2205.7591    0.0000   2205.7591  9280.6315    0.0000   9280.6315   78539.82 
6250000.00   35352        0        35352      14648        0        14648       3769        0         3769       443       0.9109     0.9109     0.0000     0.0000      0.44    2210.9714    0.0000   2210.9714  9083.6765    0.0000   9083.6765   78539.82 
6300000.00   35597        0        35597      14403        0        14403       3981        0         3981       480       0.9099     0.9099     0.0000     0.0000      0.44    2351.6267    0.0000   2351.6267  8905.5681    0.0000   8905.5681   78539.82 
6350000.00   36375        0        36375      13625        0        13625       3854        0         3854       545       0.9239     0.9239     0.0000     0.0000      0.44    2266.3184    0.0000   2266.3184  8379.5759    0.0000   8379.5759   78539.82 
6400000.00   34796        0        34796      15204        0        15204       4083        0         4083       422       0.9168     0.9168     0.0000     0.0000      0.44    2415.6230    0.0000   2415.6230  9428.7352    0.0000   9428.7352   78539.82 
6450000.00   35059        0        35059      14941        0        14941       3895        0         3895       452       0.9213     0.9213     0.0000     0.0000      0.44    2273.4160    0.0000   2273.4160  9235.6067    0.0000   9235.6067   78539.82 
6500000.00   34855        0        34855      15145        0        15145       3972        0         3972       458       0.9460     0.9460     0.0000     0.0000      0.44    2324.1695    0.0000   2324.1695  9368.2641    0.0000   9368.2641   78539.82 
6550000.00   35032        0        35032      14968        0        14968       4116        0         4116       482       0.9401     0.9401     0.0000     0.0000      0.44    2419.4769    0.0000   2419.4769  9232.3297    0.0000   9232.3297   78539.82 
6600000.00   34425        0        34425      15575        0        15575       4157        0         4157       432       0.9295     0.9295     0.0000     0.0000      0.44    2441.8076    0.0000   2441.8076  9623.1690    0.0000   9623.1690   78539.82 
6650000.00   34717        0        34717      15283        0        15283       4248        0         4248       477       0.9228     0.9228     0.0000     0.0000      0.44    2493.0474    0.0000   2493.0474  9404.1860    0.0000   9404.1860   78539.82 
6700000.00   34486        0        34486      15514        0        15514       4168        0         4168       443       0.9132     0.9132     0.0000     0.0000      0.44    2428.1704    0.0000   2428.1704  9544.7615    0.0000   9544.7615   78539.82 
6750000.00   34774        0        34774      15226        0        15226       4343        0         4343       461       0.9450     0.9450     0.0000     0.0000      0.44    2544.3287    0.0000   2544.3287  9344.5627    0.0000   9344.5627   78539.82 
6800000.00   34596        0        34596      15404        0        15404       4350        0         4350       466       0.9166     0.9166     0.0000     0.0000      0.44    2543.1722    0.0000   2543.1722  9467.5295    0.0000   9467.5295   78539.82 
6850000.00   35015        0        35015      14985        0        14985       4386        0         4386       483       0.9148     0.9148     0.0000     0.0000      0.44    2564.7518    0.0000   2564.7518  9187.3555    0.0000   9187.3555   78539.82 
